Are you able to recover credit / money from your customers?,क्या आप अपने ग्राहकों से उधारी/पैसा वसूल पाते हैं?,
Do you source raw materials/goods from market independently?,क्या आप बाजार से स्वतंत्र रूप से कच्चा माल/सामान लाते हैं?,
Do you have easy access to loans from different sources?,क्या आपको विभिन्न स्रोतों से ऋण की आसान पहुँच प्राप्त है?,
How much loan amount have you availed under SVEP / OSF scheme (Rs)?,आपने SVEP / OSF योजना के तहत कितनी ऋण राशि प्राप्त की है (रु)?,
How did you utilize the enterprise loan?,आपने उद्यम ऋण का उपयोग किस प्रकार किया?,
Monthly enterprise income BEFORE availing loan changes (Rs)?,ऋण से बदलाव करने से पहले उद्यम की मासिक आय (रु)?,
Monthly enterprise income AFTER availing loan changes (Rs)?,ऋण से बदलाव करने के बाद उद्यम की मासिक आय (रु)?,
What has been the contribution of SVEP / OSF CRPs?,SVEP / OSF CRP का क्या योगदान रहा है?,
Does the woman entrepreneur own a smartphone?,क्या महिला उद्यमी के पास स्मार्टफोन है?,
Do you use QR code / UPI / mobile banking for business transactions?,क्या आप व्यावसायिक लेन-देन के लिए क्यूआर कोड / यूपीआई / मोबाइल बैंकिंग का उपयोग करते हैं?,
Daily how many transactions are done via QR code / UPI?,दैनिक आधार पर क्यूआर कोड/यूपीआई के माध्यम से कितने लेन-देन होते हैं?,
Which social media platforms do you use for your business?,आप अपने व्यवसाय के लिए किन सोशल मीडिया प्लेटफॉर्म का उपयोग करते हैं?,
Capture Enterprise GPS Location (Satellite Coordinates),उद्यम जीपीएस लोकेशन कैप्चर करें (उपग्रह निर्देशांक),
Field Photo of Enterprise & Beneficiary,उद्यम और लाभार्थी का फील्ड फोटो,
Respondent & Surveyor Digital Signature,उत्तरदाता और सर्वेक्षक के डिजिटल हस्ताक्षर,
Full Name of Household Head / Primary Respondent,परिवार के मुखिया / प्राथमिक उत्तरदाता का पूरा नाम,
Respondent Classification,उत्तरदाता का वर्गीकरण,
Primary Contact Phone Number,प्राथमिक संपर्क मोबाइल नंबर,
"Do you own cattle, sheep, or goats?","क्या आपके पास गाय, भैंस, भेड़ या बकरियां हैं?",
Estimated Monthly Household Income (INR ₹),अनुमानित मासिक पारिवारिक आय (रु ₹),
Farm Equipment & Key Productive Assets,कृषि उपकरण और प्रमुख उत्पादक संपत्तियां,
Capture Field GPS Coordinates (Auto-verified),फील्ड जीपीएस निर्देशांक कैप्चर करें (स्वतः सत्यापित),
Field Photo of Site / Beneficiary,कार्यस्थल / लाभार्थी का फील्ड फोटो,
Surveyor Sign-off & Digital Signature,सर्वेक्षक और उत्तरदाता के डिजिटल हस्ताक्षर,
Yes,हाँ,
No,नहीं,
Self,स्वयं,
Husband,पति,
Son,बेटा,
Daughter,बेटी,
Any other,अन्य कोई,
Single,अविवाहित,
Married,विवाहित,
Widowed,विधवा,
Separated,परित्यक्ता,
Divorced,तलाकशुदा,
SC,अनुसूचित जाति (SC),
ST,अनुसूचित जनजाति (ST),
OBC,अन्य पिछड़ा वर्ग (OBC),
General,सामान्य,
Illiterate,निरक्षर / अनपढ़,
Illiterate but able to calculate,निरक्षर (लेकिन हिसाब-किताब में सक्षम),
5th pass,5वीं पास,
8th pass,8वीं पास,
10th pass,10वीं पास,
12th pass,12वीं पास,
Graduate,स्नातक / ग्रेजुएट,
"Less than Rs 1,20,000","रु 1,20,000 से कम",
"Rs 1,20,000 to Rs 1,60,000","रु 1,20,000 से रु 1,60,000",
"Rs 1,60,000 to Rs 2,00,000","रु 1,60,000 से रु 2,00,000",
"Rs 2,00,000 to Rs 2,50,000","रु 2,00,000 से रु 2,50,000",
"Rs 2,50,000 to Rs 3,00,000","रु 2,50,000 से रु 3,00,000",
"Rs 3,00,000 to Rs 3,50,000","रु 3,00,000 से रु 3,50,000",
"Above Rs 3,50,000","रु 3,50,000 से अधिक",
Member,साधारण सदस्य,
Leadership role,नेतृत्व की भूमिका (अध्यक्ष/सचिव),
Grocery / Kirana,किराना दुकान,
General store,जनरल स्टोर,
Leather & footwear,चमड़ा व जूते-चप्पल,
Flour mill,आटा चक्की,
Tailoring & Stitching,सिलाई व कढ़ाई केंद्र,
Apparel & Garments,रेडीमेड वस्त्र,
Beauty parlour,ब्यूटी पार्लर,
Handicraft,हस्तशिल्प / हैंडीक्राफ्ट,
Dairy shop,डेयरी व दूध केंद्र,
Auto-mechanic,ऑटो मैकेनिक,
E-mitra,ई-मित्र केंद्र,
Mobile repair shop,मोबाइल रिपेयर दुकान,
Transport,परिवहन सेवा,
Own shop,अपनी निजी दुकान,
Operating from own house,अपने घर से संचालन,
Rented shop,किराये की दुकान,
Operating from rented house,किराये के मकान से संचालन,
Self alone,स्वयं अकेले,
Self with occasional support from family,स्वयं परिवार के कभी-कभार सहयोग से,
Self with regular support from family,स्वयं परिवार के नियमित सहयोग से,
Only husband,केवल पति,
Husband and wife (joint management),पति-पत्नी (संयुक्त प्रबंधन),
Family members,परिवार के अन्य सदस्य,
Less than 4 hours,4 घंटे से कम,
4-5 hours,4 से 5 घंटे,
5-8 hours,5 से 8 घंटे,
8-10 hours,8 से 10 घंटे,
"Yes, with help of family member","हाँ, परिवार के सदस्य की मदद से",
"Yes, husband does","हाँ, पति करते हैं",
Don't record regularly,नियमित रूप से नहीं लिखते,
I borrow money from SHG to purchase material,सामग्री खरीदने के लिए एसएचजी से ऋण लेती हूँ,
I borrow money from moneylender/NBFIs to purchase material,साहूकार / एनबीएफसी से उधार लेती हूँ,
I borrow money from banks,बैंकों से ऋण लेती हूँ,
I buy material on credit,उधारी पर कच्चा माल लाती हूँ,
"Yes, I own the space and I get clients easily","हाँ, जगह अपनी है और ग्राहक आसानी से आते हैं",
"Yes, I found the space easily on rent and I get clients","हाँ, किराये पर आसानी से मिल गई और ग्राहक आते हैं",
"Yes, but compared to others I was charged a higher rent","हाँ, लेकिन दूसरों की तुलना में अधिक किराया लगा",
"No, but I own the space and can't move to other location","नहीं, लेकिन जगह अपनी है और दूसरी जगह नहीं जा सकती",
"No, but I could afford only this space","नहीं, लेकिन केवल यही स्थान वहन कर सकती थी",
"Yes, supplier is from nearby town/village and supplies on demand","हाँ, सप्लायर पास के शहर से है और मांग पर माल देता है",
"Yes, supplier offers credit purchase and discounts","हाँ, सप्लायर उधारी और छूट देता है",
I buy from different suppliers as per need/season,आवश्यकतानुसार अलग-अलग सप्लायरों से खरीदती हूँ,
"No, but he is our old supplier and we rely on him","नहीं, लेकिन वह पुराना सप्लायर है और हम उस पर भरोसा करते हैं",
"Yes, I don't face any issues","हाँ, कोई परेशानी नहीं आती",
"Yes, but I conduct only cash transactions","हाँ, लेकिन केवल नकद लेन-देन ही करती हूँ",
"Yes, but I have learnt over the years how to negotiate","हाँ, बातचीत व वसूली सीख ली है",
"No, but my husband is able to recover","नहीं, लेकिन मेरे पति वसूल लेते हैं",
"No, my business has suffered losses due to debt","नहीं, उधारी न मिलने से व्यवसाय में नुकसान हुआ है",
"Yes, I can visit market and buy material independently","हाँ, मैं खुद बाजार जाकर माल खरीद सकती हूँ",
"No, because I don't know the sellers","नहीं, क्योंकि मैं विक्रेताओं को नहीं जानती",
"No, because transporting goods is difficult for women","नहीं, महिलाओं के लिए सामान ढोना/लाना कठिन है",
"No, because my husband doesn't approve","नहीं, क्योंकि पति अनुमति नहीं देते",
"No, but I can if my husband is unavailable","नहीं, पर पति के न होने पर जा सकती हूँ",
"Yes, I get required amount easily from SHG","हाँ, एसएचजी से आवश्यक राशि आसानी से मिल जाती है",
"Yes, I get required loan easily from moneylender/NBFIs","हाँ, साहूकार/एनबीएफसी से आसानी से मिल जाता है",
"No, loan amount is smaller than my demand in SHGs","नहीं, एसएचजी में ऋण राशि मांग से बहुत कम होती है",
"No, installment amount is higher due to high interest from moneylender","नहीं, साहूकार की ब्याज दर अधिक होने से किस्त भारी पड़ती है",
Seed capital to buy inventory and set up shop,दुकान स्थापित करने व माल भरने हेतु बीज पूंजी,
Buy new machinery / equipment to increase production,उत्पादन बढ़ाने हेतु नई मशीन/उपकरण (जैसे सिलाई मशीन),
Buy storage assets (e.g. refrigerator/display counter),सामान रखने के साधन (फ्रिज / डिस्प्ले काउंटर आदि),
Expand physical shop space (e.g. flour mill extension),दुकान का विस्तार (जैसे चक्की बढ़ाना),
Expand product variety and retail range,उत्पादों की विविधता व रेंज बढ़ाना,
Buy delivery vehicle or transport services,परिवहन वाहन खरीदना,
Buy smartphone to promote goods online,ऑनलाइन प्रचार हेतु स्मार्टफोन खरीदना,
Helped in accessing loans to setup the business,व्यवसाय शुरू करने हेतु ऋण प्राप्त करने में मदद की,
Helped us understand business planning & profit calculations,व्यापार योजना व लाभ-हानि समझना सिखाया,
Trained us on maintaining regular transaction records,लेन-देन का नियमित हिसाब-किताब रखने का प्रशिक्षण दिया,
Gave ideas to increase enterprise income and sales,बिक्री और आय बढ़ाने के नए विचार दिए,
Helped in banking linkages and communication skills,बैंकों से जुड़ाव व संवाद कौशल में सहयोग दिया,
"No, but family owns it","नहीं, लेकिन परिवार के पास है",
Don't use social media,सोशल मीडिया का उपयोग नहीं करती,
Individual,व्यक्तिगत,
Household,पारिवारिक,
Smallholder Farmer,छोटे किसान,
Micro Enterprise / Self-Employed,सूक्ष्म उद्यम / स्व-रोजगार,
